d_lam_mm,gap_mm,freq_hz,target_bn_t,bn_mean_lt0,p_side_lt0,p_side_lt2,dp_abs_w,dp_pct,bx_gapface_t,bx_mid_t
0.025000,4.000000,10000,0.500000,5.013895e-01,4.863957e-01,4.782225e-01,-8.173200e-03,-1.6804,2.172724e-05,1.831359e-02
0.025000,4.000000,10000,1.000000,1.002779e+00,1.945583e+00,1.912890e+00,-3.269300e-02,-1.6804,4.345449e-05,3.662718e-02
0.025000,4.000000,30000,0.100000,1.002779e-01,1.743869e-01,1.716130e-01,-2.773900e-03,-1.5907,4.345228e-06,3.898486e-03
0.025000,4.000000,30000,0.500000,5.013894e-01,4.359672e+00,4.290324e+00,-6.934800e-02,-1.5907,2.172614e-05,1.949243e-02
0.025000,4.000000,30000,1.000000,1.002779e+00,1.743869e+01,1.716130e+01,-2.773900e-01,-1.5907,4.345228e-05,3.898486e-02
0.025000,4.000000,100000,0.100000,1.002778e-01,1.853959e+00,1.836335e+00,-1.762400e-02,-0.9506,4.346465e-06,5.250442e-03
0.025000,4.000000,100000,0.500000,5.013889e-01,4.634897e+01,4.590837e+01,-4.406000e-01,-0.9506,2.173232e-05,2.625221e-02
0.025000,4.000000,100000,1.000000,1.002778e+00,1.853959e+02,1.836335e+02,-1.762400e+00,-0.9506,4.346465e-05,5.250442e-02
0.025000,4.000000,200000,0.100000,1.002776e-01,6.577215e+00,6.558811e+00,-1.840400e-02,-0.2798,4.367450e-06,6.206648e-03
0.025000,4.000000,200000,0.500000,5.013878e-01,1.644304e+02,1.639703e+02,-4.601000e-01,-0.2798,2.183725e-05,3.103324e-02
0.025000,4.000000,200000,1.000000,1.002776e+00,6.577215e+02,6.558811e+02,-1.840400e+00,-0.2798,4.367450e-05,6.206648e-02
0.050000,2.000000,10000,0.100000,1.001348e-01,7.798817e-02,7.707430e-02,-9.138700e-04,-1.1718,1.972212e-08,4.448135e-03
0.050000,2.000000,10000,0.500000,5.006740e-01,1.949704e+00,1.926857e+00,-2.284700e-02,-1.1718,9.861061e-08,2.224068e-02
0.050000,2.000000,10000,1.000000,1.001348e+00,7.798817e+00,7.707430e+00,-9.138700e-02,-1.1718,1.972212e-07,4.448135e-02
0.050000,2.000000,30000,0.100000,1.001347e-01,6.607169e-01,6.575119e-01,-3.205000e-03,-0.4851,2.650227e-08,5.811087e-03
0.050000,2.000000,30000,0.500000,5.006734e-01,1.651792e+01,1.643780e+01,-8.012000e-02,-0.4850,1.325113e-07,2.905543e-02
0.050000,2.000000,30000,1.000000,1.001347e+00,6.607169e+01,6.575119e+01,-3.205000e-01,-0.4851,2.650227e-07,5.811087e-02
0.050000,2.000000,100000,0.100000,1.001340e-01,5.030047e+00,5.044602e+00,1.455500e-02,0.2894,4.248478e-08,6.752663e-03
0.050000,2.000000,100000,0.500000,5.006701e-01,1.257512e+02,1.261151e+02,3.639000e-01,0.2894,2.124239e-07,3.376331e-02
0.050000,2.000000,100000,1.000000,1.001340e+00,5.030047e+02,5.044602e+02,1.455500e+00,0.2894,4.248478e-07,6.752663e-02
0.050000,2.000000,200000,0.100000,1.001334e-01,1.399222e+01,1.404354e+01,5.132000e-02,0.3668,6.043684e-08,6.765686e-03
0.050000,2.000000,200000,0.500000,5.006670e-01,3.498056e+02,3.510886e+02,1.283000e+00,0.3668,3.021842e-07,3.382843e-02
0.050000,2.000000,200000,1.000000,1.001334e+00,1.399222e+03,1.404354e+03,5.132000e+00,0.3668,6.043684e-07,6.765686e-02
0.050000,3.000000,10000,0.100000,1.002017e-01,7.750751e-02,7.645643e-02,-1.051080e-03,-1.3561,1.049131e-07,4.141787e-03
0.050000,3.000000,10000,0.500000,5.010084e-01,1.937688e+00,1.911411e+00,-2.627700e-02,-1.3561,5.245657e-07,2.070893e-02
0.050000,3.000000,10000,1.000000,1.002017e+00,7.750751e+00,7.645643e+00,-1.051080e-01,-1.3561,1.049131e-06,4.141787e-02
0.050000,3.000000,30000,0.100000,1.002016e-01,6.566446e-01,6.524394e-01,-4.205200e-03,-0.6404,1.216656e-07,5.527963e-03
0.050000,3.000000,30000,0.500000,5.010078e-01,1.641611e+01,1.631098e+01,-1.051300e-01,-0.6404,6.083282e-07,2.763981e-02
0.050000,3.000000,30000,1.000000,1.002016e+00,6.566446e+01,6.524394e+01,-4.205200e-01,-0.6404,1.216656e-06,5.527963e-02
0.050000,3.000000,100000,0.100000,1.002009e-01,4.999038e+00,5.008043e+00,9.005000e-03,0.1801,1.741955e-07,6.469019e-03
0.050000,3.000000,100000,0.500000,5.010044e-01,1.249760e+02,1.252011e+02,2.251000e-01,0.1801,8.709776e-07,3.234509e-02
0.050000,3.000000,100000,1.000000,1.002009e+00,4.999038e+02,5.008043e+02,9.005000e-01,0.1801,1.741955e-06,6.469019e-02
0.050000,3.000000,200000,0.100000,1.002003e-01,1.390595e+01,1.394294e+01,3.699000e-02,0.2660,2.387091e-07,6.480817e-03
0.050000,3.000000,200000,0.500000,5.010013e-01,3.476488e+02,3.485736e+02,9.248000e-01,0.2660,1.193546e-06,3.240408e-02
0.050000,3.000000,200000,1.000000,1.002003e+00,1.390595e+03,1.394294e+03,3.699000e+00,0.2660,2.387091e-06,6.480817e-02
0.050000,4.000000,10000,0.100000,1.002779e-01,7.723037e-02,7.605735e-02,-1.173020e-03,-1.5189,4.345084e-06,4.077402e-03
