case_id,mode,gap_mm,freq_hz,target_bn_t,d_lam_mm,y_mm,bx_abs_t,by_abs_t
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,52.766000,1.730037e-02,9.811183e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,53.192000,1.956759e-02,9.720220e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,53.618000,2.126082e-02,9.610775e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,54.044000,2.282039e-02,9.504329e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,54.470000,2.437996e-02,9.397884e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,54.896000,2.593953e-02,9.291438e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,55.322000,2.767818e-02,9.129311e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,55.748000,2.948909e-02,8.944714e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,56.174000,3.130000e-02,8.760117e-02
B30001,LT0_OFF,2.000000,10000,0.100000,0.010000,56.600000,3.311092e-02,8.575520e-02
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,14.000000,1.621960e-01,4.315663e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,14.426000,1.548561e-01,4.400356e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,14.852000,1.475161e-01,4.485050e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,15.278000,1.401762e-01,4.569743e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,15.704000,1.323613e-01,4.652061e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,16.130000,1.227353e-01,4.702113e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,16.556000,1.135164e-01,4.752956e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,16.982000,1.042517e-01,4.809887e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,17.408000,9.548199e-02,4.860849e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,17.834000,8.714886e-02,4.896850e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,18.260000,7.881015e-02,4.927596e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,18.686000,7.207892e-02,4.947321e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,19.112000,6.640057e-02,4.959826e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,19.538000,6.045440e-02,4.971539e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,19.964000,5.412602e-02,4.976038e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,20.390000,5.035617e-02,4.964672e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,20.816000,4.680299e-02,4.963804e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,21.242000,4.324982e-02,4.962937e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,21.668000,3.969665e-02,4.962070e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,22.094000,3.614347e-02,4.961202e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,22.520000,3.259030e-02,4.960335e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,22.946000,2.916603e-02,4.969073e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,23.372000,2.574736e-02,4.978228e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,23.798000,2.202744e-02,4.960144e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,24.224000,1.829279e-02,4.940728e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,24.650000,1.455815e-02,4.921312e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,25.076000,1.341838e-02,4.905465e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,25.502000,1.250377e-02,4.889928e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,25.928000,1.112722e-02,4.864621e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,26.354000,9.664951e-03,4.837501e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,26.780000,8.616180e-03,4.807050e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,27.206000,7.769378e-03,4.774972e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,27.632000,6.922576e-03,4.742894e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,28.058000,6.441915e-03,4.713616e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,28.484000,6.256444e-03,4.680557e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,28.910000,5.573406e-03,4.638317e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,29.336000,4.544465e-03,4.596940e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,29.762000,3.515523e-03,4.555564e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,30.188000,2.785973e-03,4.509359e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,30.614000,3.084843e-03,4.446571e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,31.040000,3.383713e-03,4.383782e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,31.466000,2.713688e-03,4.317193e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,31.892000,1.944189e-03,4.247454e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,32.318000,1.174691e-03,4.177714e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,32.744000,6.134172e-04,4.106984e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,33.170000,1.200776e-03,4.030790e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,33.596000,1.788136e-03,3.954595e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,34.022000,2.375495e-03,3.878400e-01
B30002,LT0_OFF,2.000000,10000,0.500000,0.010000,34.448000,7.532899e-08,3.828677e-01
