case_id,mode,gap_mm,freq_hz,target_bn_t,d_lam_mm,lam_type,perp_enable,current_a,bn_mean_t,bx_h_mean_t,by_h_mean_t,bx_gapface_t,by_gapface_t,l_h,z_ohm,p_tot_w,p_core_w,p_side_w
B30036,LT0_OFF,4.000000,200000,1.000000,0.010000,0,0,5.259893e+02,1.002779e+00,3.630485e-02,9.881026e-01,4.346085e-05,6.601356e-01,7.452623e-06,9.365243e+00,2.625534e+03,2.478446e+02,1.239301e+02
B30037,LT0_OFF,2.000000,10000,0.100000,0.025000,0,0,3.053061e+01,1.001348e-01,4.051311e-03,9.901874e-02,1.830167e-08,7.657354e-02,1.283957e-05,8.067346e-01,1.895046e-01,3.929196e-02,1.964673e-02
B30038,LT0_OFF,2.000000,10000,0.500000,0.025000,0,0,1.526530e+02,5.006741e-01,2.025656e-02,4.950937e-01,9.150834e-08,3.828677e-01,1.283957e-05,8.067346e-01,4.737614e+00,9.822991e-01,4.911683e-01
B30039,LT0_OFF,2.000000,10000,1.000000,0.025000,0,0,3.053061e+02,1.001348e+00,4.051311e-02,9.901874e-01,1.830167e-07,7.657354e-01,1.283957e-05,8.067346e-01,1.895046e+01,3.929196e+00,1.964673e+00
B30040,LT0_OFF,2.000000,30000,0.100000,0.025000,0,0,3.053148e+01,1.001348e-01,4.051321e-03,9.901873e-02,1.971742e-08,7.657357e-02,1.283921e-05,2.420134e+00,6.384895e-01,3.521825e-01,1.760980e-01
B30041,LT0_OFF,2.000000,30000,0.500000,0.025000,0,0,1.526574e+02,5.006741e-01,2.025661e-02,4.950936e-01,9.858710e-08,3.828678e-01,1.283921e-05,2.420134e+00,1.596224e+01,8.804564e+00,4.402450e+00
B30042,LT0_OFF,2.000000,30000,1.000000,0.025000,0,0,3.053148e+02,1.001348e+00,4.051321e-02,9.901873e-01,1.971742e-07,7.657357e-01,1.283921e-05,2.420134e+00,6.384895e+01,3.521825e+01,1.760980e+01
B30043,LT0_OFF,2.000000,100000,0.100000,0.025000,0,0,3.054069e+01,1.001347e-01,4.051424e-03,9.901857e-02,3.102001e-08,7.657388e-02,1.283534e-05,8.064681e+00,5.593083e+00,3.744159e+00,1.872151e+00
B30044,LT0_OFF,2.000000,100000,0.500000,0.025000,0,0,1.527034e+02,5.006736e-01,2.025712e-02,4.950929e-01,1.551001e-07,3.828694e-01,1.283534e-05,8.064681e+00,1.398271e+02,9.360397e+01,4.680377e+01
B30045,LT0_OFF,2.000000,100000,1.000000,0.025000,0,0,3.054069e+02,1.001347e+00,4.051424e-02,9.901857e-01,3.102001e-07,7.657388e-01,1.283534e-05,8.064681e+00,5.593083e+02,3.744159e+02,1.872151e+02
B30046,LT0_OFF,2.000000,200000,0.100000,0.025000,0,0,3.056419e+01,1.001345e-01,4.051685e-03,9.901818e-02,4.972374e-08,7.657469e-02,1.282547e-05,1.611696e+01,2.042040e+01,1.328301e+01,6.641760e+00
B30047,LT0_OFF,2.000000,200000,0.500000,0.025000,0,0,1.528210e+02,5.006724e-01,2.025843e-02,4.950909e-01,2.486187e-07,3.828735e-01,1.282547e-05,1.611696e+01,5.105101e+02,3.320753e+02,1.660440e+02
B30048,LT0_OFF,2.000000,200000,1.000000,0.025000,0,0,3.056419e+02,1.001345e+00,4.051685e-02,9.901818e-01,4.972374e-07,7.657469e-01,1.282547e-05,1.611696e+01,2.042040e+03,1.328301e+03,6.641760e+02
B30049,LT0_OFF,3.000000,10000,0.100000,0.025000,0,0,4.222416e+01,1.002017e-01,3.732932e-03,9.858619e-02,1.020217e-07,7.065844e-02,9.283785e-06,5.833178e-01,3.292703e-01,3.905929e-02,1.952564e-02
B30050,LT0_OFF,3.000000,10000,0.500000,0.025000,0,0,2.111208e+02,5.010085e-01,1.866466e-02,4.929310e-01,5.101084e-07,3.532922e-01,9.283785e-06,5.833178e-01,8.231758e+00,9.764823e-01,4.881411e-01
B30051,LT0_OFF,3.000000,10000,1.000000,0.025000,0,0,4.222416e+02,1.002017e+00,3.732932e-02,9.858619e-01,1.020217e-06,7.065844e-01,9.283785e-06,5.833178e-01,3.292703e+01,3.905929e+00,1.952564e+00
B30052,LT0_OFF,3.000000,30000,0.100000,0.025000,0,0,4.222503e+01,1.002017e-01,3.732941e-03,9.858618e-02,1.019291e-07,7.065847e-02,9.283593e-06,1.749916e+00,9.236449e-01,3.500970e-01,1.750127e-01
B30053,LT0_OFF,3.000000,30000,0.500000,0.025000,0,0,2.111251e+02,5.010084e-01,1.866471e-02,4.929309e-01,5.096457e-07,3.532923e-01,9.283593e-06,1.749916e+00,2.309112e+01,8.752426e+00,4.375316e+00
B30054,LT0_OFF,3.000000,30000,1.000000,0.025000,0,0,4.222503e+02,1.002017e+00,3.732941e-02,9.858618e-01,1.019291e-06,7.065847e-01,9.283593e-06,1.749916e+00,9.236449e+01,3.500970e+01,1.750127e+01
B30055,LT0_OFF,3.000000,100000,0.100000,0.025000,0,0,4.223425e+01,1.002016e-01,3.733039e-03,9.858603e-02,1.009861e-07,7.065876e-02,9.281567e-06,5.831781e+00,7.529943e+00,3.721987e+00,1.860612e+00
B30056,LT0_OFF,3.000000,100000,0.500000,0.025000,0,0,2.111712e+02,5.010080e-01,1.866519e-02,4.929301e-01,5.049306e-07,3.532938e-01,9.281567e-06,5.831781e+00,1.882486e+02,9.304967e+01,4.651530e+01
B30057,LT0_OFF,3.000000,100000,1.000000,0.025000,0,0,4.223425e+02,1.002016e+00,3.733039e-02,9.858603e-01,1.009861e-06,7.065876e-01,9.281567e-06,5.831781e+00,7.529943e+02,3.721987e+02,1.860612e+02
B30058,LT0_OFF,3.000000,200000,0.100000,0.025000,0,0,4.225779e+01,1.002014e-01,3.733288e-03,9.858564e-02,9.896802e-08,7.065953e-02,9.276397e-06,1.165707e+01,2.777651e+01,1.320435e+01,6.600821e+00
B30059,LT0_OFF,3.000000,200000,0.500000,0.025000,0,0,2.112889e+02,5.010068e-01,1.866644e-02,4.929282e-01,4.948401e-07,3.532976e-01,9.276397e-06,1.165707e+01,6.944126e+02,3.301087e+02,1.650205e+02
B30060,LT0_OFF,3.000000,200000,1.000000,0.025000,0,0,4.225779e+02,1.002014e+00,3.733288e-02,9.858564e-01,9.896802e-07,7.065953e-01,9.276397e-06,1.165707e+01,2.777651e+03,1.320435e+03,6.600821e+02
B30061,LT0_OFF,4.000000,10000,0.100000,0.025000,0,0,5.259792e+01,1.002779e-01,3.630472e-03,9.881028e-02,4.345540e-06,6.601354e-02,7.452766e-06,4.682715e-01,4.901972e-01,3.890918e-02,1.945583e-02
B30062,LT0_OFF,4.000000,10000,0.500000,0.025000,0,0,2.629896e+02,5.013895e-01,1.815236e-02,4.940514e-01,2.172770e-05,3.300677e-01,7.452766e-06,4.682715e-01,1.225493e+01,9.727296e-01,4.863957e-01
B30063,LT0_OFF,4.000000,10000,1.000000,0.025000,0,0,5.259792e+02,1.002779e+00,3.630472e-02,9.881028e-01,4.345540e-05,6.601354e-01,7.452766e-06,4.682715e-01,4.901972e+01,3.890918e+00,1.945583e+00
B30064,LT0_OFF,4.000000,30000,0.100000,0.025000,0,0,5.259880e+01,1.002779e-01,3.630484e-03,9.881027e-02,4.346012e-06,6.601356e-02,7.452642e-06,1.404790e+00,1.247296e+00,3.487516e-01,1.743869e-01
B30065,LT0_OFF,4.000000,30000,0.500000,0.025000,0,0,2.629940e+02,5.013894e-01,1.815242e-02,4.940513e-01,2.173006e-05,3.300678e-01,7.452642e-06,1.404790e+00,3.118240e+01,8.718790e+00,4.359672e+00
B30066,LT0_OFF,4.000000,30000,1.000000,0.025000,0,0,5.259880e+02,1.002779e+00,3.630484e-02,9.881027e-01,4.346012e-05,6.601356e-01,7.452642e-06,1.404790e+00,1.247296e+02,3.487516e+01,1.743869e+01
B30067,LT0_OFF,4.000000,100000,0.100000,0.025000,0,0,5.260803e+01,1.002778e-01,3.630604e-03,9.881010e-02,4.351002e-06,6.601386e-02,7.451333e-06,4.681812e+00,9.702240e+00,3.707682e+00,1.853959e+00
B30068,LT0_OFF,4.000000,100000,0.500000,0.025000,0,0,2.630402e+02,5.013889e-01,1.815302e-02,4.940505e-01,2.175501e-05,3.300693e-01,7.451333e-06,4.681812e+00,2.425560e+02,9.269206e+01,4.634897e+01
B30069,LT0_OFF,4.000000,100000,1.000000,0.025000,0,0,5.260803e+02,1.002778e+00,3.630604e-02,9.881010e-01,4.351002e-05,6.601386e-01,7.451333e-06,4.681812e+00,9.702240e+02,3.707682e+02,1.853959e+02
B30070,LT0_OFF,4.000000,200000,0.100000,0.025000,0,0,5.263162e+01,1.002776e-01,3.630910e-03,9.880966e-02,4.363732e-06,6.601460e-02,7.447995e-06,9.359427e+00,3.601432e+01,1.315360e+01,6.577215e+00
B30071,LT0_OFF,4.000000,200000,0.500000,0.025000,0,0,2.631581e+02,5.013878e-01,1.815455e-02,4.940483e-01,2.181866e-05,3.300730e-01,7.447995e-06,9.359427e+00,9.003581e+02,3.288399e+02,1.644304e+02
B30072,LT0_OFF,4.000000,200000,1.000000,0.025000,0,0,5.263162e+02,1.002776e+00,3.630910e-02,9.880966e-01,4.363732e-05,6.601460e-01,7.447995e-06,9.359427e+00,3.601432e+03,1.315360e+03,6.577215e+02
B30073,LT0_OFF,2.000000,10000,0.100000,0.050000,0,0,3.053223e+01,1.001348e-01,4.051329e-03,9.901871e-02,2.086602e-08,7.657360e-02,1.283889e-05,8.066920e-01,2.946076e-01,1.559704e-01,7.798817e-02
B30074,LT0_OFF,2.000000,10000,0.500000,0.050000,0,0,1.526612e+02,5.006740e-01,2.025665e-02,4.950936e-01,1.043301e-07,3.828680e-01,1.283889e-05,8.066920e-01,7.365189e+00,3.899260e+00,1.949704e+00
B30075,LT0_OFF,2.000000,10000,1.000000,0.050000,0,0,3.053223e+02,1.001348e+00,4.051329e-02,9.901871e-01,2.086602e-07,7.657360e-01,1.283889e-05,8.066920e-01,2.946076e+01,1.559704e+01,7.798817e+00
B30076,LT0_OFF,2.000000,30000,0.100000,0.050000,0,0,3.054473e+01,1.001347e-01,4.051469e-03,9.901851e-02,3.488030e-08,7.657402e-02,1.283364e-05,2.419085e+00,1.511509e+00,1.321383e+00,6.607169e-01
B30077,LT0_OFF,2.000000,30000,0.500000,0.050000,0,0,1.527236e+02,5.006734e-01,2.025734e-02,4.950925e-01,1.744015e-07,3.828701e-01,1.283364e-05,2.419085e+00,3.778772e+01,3.303458e+01,1.651792e+01
B30078,LT0_OFF,2.000000,30000,1.000000,0.050000,0,0,3.054473e+02,1.001347e+00,4.051469e-02,9.901851e-01,3.488030e-07,7.657402e-01,1.283364e-05,2.419085e+00,1.511509e+02,1.321383e+02,6.607169e+01
B30079,LT0_OFF,2.000000,100000,0.100000,0.050000,0,0,3.061255e+01,1.001340e-01,4.052224e-03,9.901738e-02,7.718587e-08,7.657635e-02,1.280521e-05,8.045751e+00,1.128049e+01,1.005971e+01,5.030047e+00
B30080,LT0_OFF,2.000000,100000,0.500000,0.050000,0,0,1.530627e+02,5.006701e-01,2.026112e-02,4.950869e-01,3.859293e-07,3.828818e-01,1.280521e-05,8.045751e+00,2.820123e+02,2.514927e+02,1.257512e+02
B30081,LT0_OFF,2.000000,100000,1.000000,0.050000,0,0,3.061255e+02,1.001340e+00,4.052224e-02,9.901738e-01,7.718587e-07,7.657635e-01,1.280521e-05,8.045751e+00,1.128049e+03,1.005971e+03,5.030047e+02
B30082,LT0_OFF,2.000000,200000,0.100000,0.050000,0,0,3.067574e+01,1.001334e-01,4.052927e-03,9.901633e-02,1.107903e-07,7.657852e-02,1.277883e-05,1.605835e+01,3.365390e+01,2.798338e+01,1.399222e+01
B30083,LT0_OFF,2.000000,200000,0.500000,0.050000,0,0,1.533787e+02,5.006670e-01,2.026463e-02,4.950817e-01,5.539515e-07,3.828926e-01,1.277883e-05,1.605835e+01,8.413475e+02,6.995844e+02,3.498056e+02
B30084,LT0_OFF,2.000000,200000,1.000000,0.050000,0,0,3.067574e+02,1.001334e+00,4.052927e-02,9.901633e-01,1.107903e-06,7.657852e-01,1.277883e-05,1.605835e+01,3.365390e+03,2.798338e+03,1.399222e+03
B30085,LT0_OFF,3.000000,10000,0.100000,0.050000,0,0,4.222578e+01,1.002017e-01,3.732949e-03,9.858617e-02,1.018495e-07,7.065849e-02,9.283427e-06,5.832955e-01,4.346453e-01,1.550468e-01,7.750751e-02
B30086,LT0_OFF,3.000000,10000,0.500000,0.050000,0,0,2.111289e+02,5.010084e-01,1.866475e-02,4.929308e-01,5.092477e-07,3.532924e-01,9.283427e-06,5.832955e-01,1.086613e+01,3.876170e+00,1.937688e+00
B30087,LT0_OFF,3.000000,10000,1.000000,0.050000,0,0,4.222578e+02,1.002017e+00,3.732949e-02,9.858617e-01,1.018495e-06,7.065849e-01,9.283427e-06,5.832955e-01,4.346453e+01,1.550468e+01,7.750751e+00
B30088,LT0_OFF,3.000000,30000,0.100000,0.050000,0,0,4.223829e+01,1.002016e-01,3.733082e-03,9.858596e-02,1.005952e-07,7.065890e-02,9.280678e-06,1.749368e+00,1.798917e+00,1.313558e+00,6.566446e-01
