f_Hz,x_mm,y_mm,absA_full,absA_sig0,absBx_full,absBx_sig0,absBy_full,absBy_sig0
1000,0.100000,23.639000,2.673552e-05,7.846688e-06,7.619788e-03,7.706813e-03,3.236031e-01,1.172109e-01
1000,0.100000,23.758000,2.762516e-05,8.345257e-06,7.551850e-03,7.646371e-03,3.260676e-01,1.172186e-01
1000,0.100000,23.877000,2.851675e-05,8.909881e-06,7.486420e-03,7.588552e-03,3.285322e-01,1.172264e-01
1000,0.100000,23.996000,2.941010e-05,9.528824e-06,7.423564e-03,7.533418e-03,3.309970e-01,1.172342e-01
1000,0.100000,24.115000,3.089136e-05,1.015042e-05,7.378431e-03,7.485958e-03,3.330881e-01,1.172462e-01
1000,0.100000,24.234000,3.316207e-05,1.075927e-05,7.355361e-03,7.449329e-03,3.346826e-01,1.172637e-01
1000,0.100000,24.353000,3.445280e-05,1.139253e-05,7.274476e-03,7.381473e-03,3.370767e-01,1.172835e-01
1000,0.100000,24.472000,3.524958e-05,1.204935e-05,7.171186e-03,7.304329e-03,3.398723e-01,1.173046e-01
1000,0.100000,24.591000,3.604829e-05,1.273160e-05,7.076851e-03,7.237081e-03,3.426681e-01,1.173258e-01
1000,0.100000,24.710000,3.684882e-05,1.343541e-05,6.991832e-03,7.180007e-03,3.454643e-01,1.173470e-01
1000,0.100000,24.829000,3.781404e-05,1.410762e-05,7.629798e-03,7.146584e-03,3.562629e-01,1.173692e-01
1000,0.100000,24.948000,3.859266e-05,1.472599e-05,7.810821e-03,7.115762e-03,3.602949e-01,1.174695e-01
1000,0.100000,25.067000,3.943714e-05,1.535668e-05,7.714676e-03,7.106717e-03,3.611919e-01,1.175920e-01
1000,0.100000,25.186000,4.063104e-05,1.599327e-05,7.319998e-03,7.130019e-03,3.597195e-01,1.177453e-01
1000,0.100000,25.305000,4.143968e-05,1.660143e-05,7.249261e-03,7.163874e-03,3.626205e-01,1.179261e-01
1000,0.100000,25.424000,4.241130e-05,1.721133e-05,7.678323e-03,7.231331e-03,3.661242e-01,1.181199e-01
1000,0.100000,25.543000,4.422424e-05,1.782227e-05,9.350157e-03,7.361450e-03,3.677835e-01,1.183324e-01
1000,0.100000,25.662000,4.492189e-05,1.840877e-05,9.403081e-03,7.503914e-03,3.731160e-01,1.185434e-01
1000,0.100000,25.781000,4.650077e-05,1.903746e-05,9.687467e-03,7.682466e-03,3.767473e-01,1.187994e-01
1000,0.100000,25.900000,4.752920e-05,1.965832e-05,9.774140e-03,7.897417e-03,3.799506e-01,1.191652e-01
