case_id,mode,gap_mm,freq_hz,target_bn_t,d_lam_mm,lam_type,perp_enable,current_a,bn_mean_t,bx_h_mean_t,by_h_mean_t,l_h,z_ohm,p_tot_w,p_core_w,p_side_w,f_bx,grid_n
B40075,LT2_ON,3.000000,30000,0.500000,0.025000,2,1,2.111232e+02,5.010085e-01,1.988607e-02,4.926498e-01,9.283680e-06,1.749933e+00,2.302543e+01,8.627562e+00,4.312961e+00,0.01963858,120
B40076,LT2_ON,3.000000,30000,1.000000,0.025000,2,1,4.222463e+02,1.002017e+00,3.977214e-02,9.852995e-01,9.283680e-06,1.749933e+00,9.210171e+01,3.451025e+01,1.725184e+01,0.01963858,120
B40077,LT2_ON,3.000000,100000,0.500000,0.025000,2,1,2.111508e+02,5.010089e-01,2.622634e-02,4.900176e-01,9.282466e-06,5.832346e+00,1.876432e+02,9.229664e+01,4.613829e+01,0.01991753,120
B40078,LT2_ON,3.000000,100000,1.000000,0.025000,2,1,4.223016e+02,1.002018e+00,5.245268e-02,9.800351e-01,9.282466e-06,5.832346e+00,7.505727e+02,3.691866e+02,1.845531e+02,0.01991753,120
B40079,LT2_ON,3.000000,200000,0.500000,0.025000,2,1,2.112228e+02,5.010097e-01,3.086851e-02,4.855422e-01,9.279302e-06,1.166072e+01,6.926959e+02,3.295611e+02,1.647403e+02,0.01977224,120
B40080,LT2_ON,3.000000,200000,1.000000,0.025000,2,1,4.224456e+02,1.002019e+00,6.173702e-02,9.710844e-01,9.279302e-06,1.166072e+01,2.770783e+03,1.318244e+03,6.589613e+02,0.01977224,120
B40081,LT2_ON,3.500000,10000,0.500000,0.025000,2,1,2.377225e+02,5.011962e-01,1.785779e-02,4.922213e-01,8.244909e-06,5.180433e-01,1.017944e+01,9.588984e-01,4.794166e-01,0.02032662,120
B40082,LT2_ON,3.500000,10000,1.000000,0.025000,2,1,4.754449e+02,1.002392e+00,3.571559e-02,9.844427e-01,8.244909e-06,5.180433e-01,4.071775e+01,3.835594e+00,1.917666e+00,0.02032662,120
B40083,LT2_ON,3.500000,30000,0.500000,0.025000,2,1,2.377251e+02,5.011963e-01,1.899928e-02,4.919602e-01,8.244818e-06,1.554112e+00,2.696967e+01,8.602569e+00,4.300993e+00,0.02041957,120
B40084,LT2_ON,3.500000,30000,1.000000,0.025000,2,1,4.754501e+02,1.002393e+00,3.799856e-02,9.839203e-01,8.244818e-06,1.554112e+00,1.078787e+02,3.441027e+01,1.720397e+01,0.02041957,120
B40085,LT2_ON,3.500000,100000,0.500000,0.025000,2,1,2.377528e+02,5.011966e-01,2.564651e-02,4.892965e-01,8.243857e-06,5.179769e+00,2.141909e+02,9.204357e+01,4.601871e+01,0.02075697,120
B40086,LT2_ON,3.500000,100000,1.000000,0.025000,2,1,4.755056e+02,1.002393e+00,5.129303e-02,9.785931e-01,8.243857e-06,5.179769e+00,8.567637e+02,3.681743e+02,1.840748e+02,0.02075697,120
B40087,LT2_ON,3.500000,200000,0.500000,0.025000,2,1,2.378251e+02,5.011974e-01,3.047193e-02,4.848429e-01,8.241352e-06,1.035639e+01,7.934404e+02,3.287151e+02,1.643463e+02,0.02064407,120
B40088,LT2_ON,3.500000,200000,1.000000,0.025000,2,1,4.756501e+02,1.002395e+00,6.094386e-02,9.696858e-01,8.241352e-06,1.035639e+01,3.173762e+03,1.314861e+03,6.573851e+02,0.02064407,120
B40089,LT2_ON,4.000000,10000,0.500000,0.025000,2,1,2.629894e+02,5.013895e-01,1.831359e-02,4.940216e-01,7.452772e-06,4.682719e-01,1.224673e+01,9.563441e-01,4.782225e-01,0.02165233,120
B40090,LT2_ON,4.000000,10000,1.000000,0.025000,2,1,5.259788e+02,1.002779e+00,3.662718e-02,9.880432e-01,7.452772e-06,4.682719e-01,4.898692e+01,3.825376e+00,1.912890e+00,0.02165233,120
B40091,LT2_ON,4.000000,30000,0.500000,0.025000,2,1,2.629920e+02,5.013895e-01,1.949243e-02,4.937815e-01,7.452697e-06,1.404801e+00,3.111002e+01,8.579765e+00,4.290324e+00,0.02172864,120
B40092,LT2_ON,4.000000,30000,1.000000,0.025000,2,1,5.259841e+02,1.002779e+00,3.898486e-02,9.875630e-01,7.452697e-06,1.404801e+00,1.244401e+02,3.431906e+01,1.716130e+01,0.02172864,120
B40093,LT2_ON,4.000000,100000,0.500000,0.025000,2,1,2.630199e+02,5.013899e-01,2.625221e-02,4.912291e-01,7.451909e-06,4.682173e+00,2.418865e+02,9.180933e+01,4.590837e+01,0.02195480,120
B40094,LT2_ON,4.000000,100000,1.000000,0.025000,2,1,5.260397e+02,1.002780e+00,5.250442e-02,9.824582e-01,7.451909e-06,4.682173e+00,9.675459e+02,3.672373e+02,1.836335e+02,0.02195480,120
B40095,LT2_ON,4.000000,200000,0.500000,0.025000,2,1,2.630924e+02,5.013906e-01,3.103324e-02,4.868108e-01,7.449853e-06,9.361762e+00,8.984467e+02,3.279232e+02,1.639703e+02,0.02173926,120
B40096,LT2_ON,4.000000,200000,1.000000,0.025000,2,1,5.261849e+02,1.002781e+00,6.206648e-02,9.736217e-01,7.449853e-06,9.361762e+00,3.593787e+03,1.311693e+03,6.558811e+02,0.02173926,120
B40097,LT2_ON,5.000000,10000,0.500000,0.025000,2,1,3.091589e+02,5.017632e-01,1.570199e-02,4.935053e-01,6.339782e-06,3.983407e-01,1.655403e+01,9.527356e-01,4.763980e-01,0.02392169,120
B40098,LT2_ON,5.000000,10000,1.000000,0.025000,2,1,6.183178e+02,1.003526e+00,3.140397e-02,9.870107e-01,6.339782e-06,3.983407e-01,6.621611e+01,3.810943e+00,1.905592e+00,0.02392169,120
B40099,LT2_ON,5.000000,30000,0.500000,0.025000,2,1,3.091615e+02,5.017632e-01,1.695199e-02,4.932465e-01,6.339728e-06,1.195011e+00,3.967274e+01,8.547664e+00,4.274101e+00,0.02398314,120
B40100,LT2_ON,5.000000,30000,1.000000,0.025000,2,1,6.183231e+02,1.003526e+00,3.390397e-02,9.864930e-01,6.339728e-06,1.195011e+00,1.586910e+02,3.419066e+01,1.709640e+01,0.02398314,120
B40101,LT2_ON,5.000000,100000,0.500000,0.025000,2,1,3.091896e+02,5.017636e-01,2.392900e-02,4.906079e-01,6.339153e-06,3.983008e+00,2.988052e+02,9.148771e+01,4.574638e+01,0.02410224,120
B40102,LT2_ON,5.000000,100000,1.000000,0.025000,2,1,6.183792e+02,1.003527e+00,4.785801e-02,9.812159e-01,6.339153e-06,3.983008e+00,1.195221e+03,3.659508e+02,1.829855e+02,0.02410224,120
B40103,LT2_ON,5.000000,200000,0.500000,0.025000,2,1,3.092627e+02,5.017644e-01,2.880147e-02,4.861751e-01,6.337655e-06,7.964133e+00,1.114098e+03,3.268684e+02,1.634405e+02,0.02377246,120
B40104,LT2_ON,5.000000,200000,1.000000,0.025000,2,1,6.185253e+02,1.003529e+00,5.760294e-02,9.723502e-01,6.337655e-06,7.964133e+00,4.456391e+03,1.307474e+03,6.537620e+02,0.02377246,120
B40105,LT2_ON,6.000000,10000,0.500000,0.025000,2,1,3.508927e+02,5.020455e-01,1.658742e-02,4.924171e-01,5.585753e-06,3.509637e-01,2.103037e+01,9.501289e-01,4.750216e-01,0.02536573,120
B40106,LT2_ON,6.000000,10000,1.000000,0.025000,2,1,7.017854e+02,1.004091e+00,3.317483e-02,9.848343e-01,5.585753e-06,3.509637e-01,8.412148e+01,3.800516e+00,1.900087e+00,0.02536573,120
B40107,LT2_ON,6.000000,30000,0.500000,0.025000,2,1,3.508954e+02,5.020456e-01,1.783835e-02,4.920962e-01,5.585710e-06,1.052882e+00,4.846410e+01,8.524530e+00,4.261888e+00,0.02543413,120
B40108,LT2_ON,6.000000,30000,1.000000,0.025000,2,1,7.017908e+02,1.004091e+00,3.567669e-02,9.841924e-01,5.585710e-06,1.052882e+00,1.938564e+02,3.409812e+01,1.704755e+01,0.02543413,120
B40109,LT2_ON,6.000000,100000,0.500000,0.025000,2,1,3.509236e+02,5.020459e-01,2.485579e-02,4.888599e-01,5.585261e-06,3.509323e+00,3.566309e+02,9.126076e+01,4.562673e+01,0.02557268,120
B40110,LT2_ON,6.000000,100000,1.000000,0.025000,2,1,7.018472e+02,1.004092e+00,4.971158e-02,9.777197e-01,5.585261e-06,3.509323e+00,1.426524e+03,3.650430e+02,1.825069e+02,0.02557268,120
B40111,LT2_ON,6.000000,200000,0.500000,0.025000,2,1,3.509971e+02,5.020467e-01,2.974240e-02,4.835500e-01,5.584091e-06,7.017177e+00,1.332894e+03,3.261460e+02,1.630605e+02,0.02522189,120
B40112,LT2_ON,6.000000,200000,1.000000,0.025000,2,1,7.019943e+02,1.004093e+00,5.948480e-02,9.671000e-01,5.584091e-06,7.017177e+00,5.331576e+03,1.304584e+03,6.522421e+02,0.02522189,120
