case_id,mode,gap_mm,freq_hz,target_bn_t,lam_type,perp_enable,current_a,bn_mean_t,bx_h_mean_t,by_h_mean_t,l_h,z_ohm,p_tot_w,p_core_w,p_side_w,p_thin31_w
C0052,LT0_OFF,2.000000,100000,0.800000,0,0,2.443036e+02,8.010780e-01,3.241114e-02,7.921490e-01,1.283649e-05,8.065404e+00,3.272528e+02,2.055345e+02,1.027712e+02,0.000000e+00
C0053,LT0_OFF,2.000000,100000,1.000000,0,0,3.053795e+02,1.001347e+00,4.051393e-02,9.901862e-01,1.283649e-05,8.065404e+00,5.113324e+02,3.211476e+02,1.605799e+02,0.000000e+00
C0054,LT0_OFF,2.000000,100000,1.300000,0,0,3.969933e+02,1.301752e+00,5.266811e-02,1.287242e+00,1.283649e-05,8.065404e+00,8.641518e+02,5.427394e+02,2.713801e+02,0.000000e+00
C0055,LT0_OFF,2.500000,100000,0.100000,0,0,3.658158e+01,1.001692e-01,4.007859e-03,9.871910e-02,1.071578e-05,6.732922e+00,6.042567e+00,3.200484e+00,1.600101e+00,0.000000e+00
C0056,LT0_OFF,2.500000,100000,0.200000,0,0,7.316315e+01,2.003383e-01,8.015719e-03,1.974382e-01,1.071578e-05,6.732922e+00,2.417027e+01,1.280194e+01,6.400405e+00,0.000000e+00
C0057,LT0_OFF,2.500000,100000,0.400000,0,0,1.463263e+02,4.006766e-01,1.603144e-02,3.948764e-01,1.071578e-05,6.732922e+00,9.668107e+01,5.120775e+01,2.560162e+01,0.000000e+00
C0058,LT0_OFF,2.500000,100000,0.800000,0,0,2.926526e+02,8.013533e-01,3.206288e-02,7.897528e-01,1.071578e-05,6.732922e+00,3.867243e+02,2.048310e+02,1.024065e+02,0.000000e+00
C0059,LT0_OFF,2.500000,100000,1.000000,0,0,3.658158e+02,1.001692e+00,4.007859e-02,9.871910e-01,1.071578e-05,6.732922e+00,6.042567e+02,3.200484e+02,1.600101e+02,0.000000e+00
C0060,LT0_OFF,2.500000,100000,1.300000,0,0,4.755605e+02,1.302199e+00,5.210217e-02,1.283348e+00,1.071578e-05,6.732922e+00,1.021194e+03,5.408818e+02,2.704171e+02,0.000000e+00
C0061,LT0_OFF,3.000000,100000,0.100000,0,0,4.223151e+01,1.002016e-01,3.733010e-03,9.858607e-02,9.282170e-06,5.832160e+00,7.048971e+00,3.192458e+00,1.595902e+00,0.000000e+00
C0062,LT0_OFF,3.000000,100000,0.200000,0,0,8.446301e+01,2.004032e-01,7.466019e-03,1.971721e-01,9.282170e-06,5.832160e+00,2.819588e+01,1.276983e+01,6.383608e+00,0.000000e+00
C0063,LT0_OFF,3.000000,100000,0.400000,0,0,1.689260e+02,4.008065e-01,1.493204e-02,3.943443e-01,9.282170e-06,5.832160e+00,1.127835e+02,5.107933e+01,2.553443e+01,0.000000e+00
C0064,LT0_OFF,3.000000,100000,0.800000,0,0,3.378520e+02,8.016129e-01,2.986408e-02,7.886886e-01,9.282170e-06,5.832160e+00,4.511342e+02,2.043173e+02,1.021377e+02,0.000000e+00
C0065,LT0_OFF,3.000000,100000,1.000000,0,0,4.223151e+02,1.002016e+00,3.733010e-02,9.858607e-01,9.282170e-06,5.832160e+00,7.048971e+02,3.192458e+02,1.595902e+02,0.000000e+00
C0066,LT0_OFF,3.000000,100000,1.300000,0,0,5.490096e+02,1.302621e+00,4.852913e-02,1.281619e+00,9.282170e-06,5.832160e+00,1.191276e+03,5.395255e+02,2.697075e+02,0.000000e+00
C0067,LT0_OFF,4.000000,100000,0.100000,0,0,5.260529e+01,1.002778e-01,3.630568e-03,9.881015e-02,7.451723e-06,4.682056e+00,9.219926e+00,3.180189e+00,1.590196e+00,0.000000e+00
C0068,LT0_OFF,4.000000,100000,0.200000,0,0,1.052106e+02,2.005556e-01,7.261136e-03,1.976203e-01,7.451723e-06,4.682056e+00,3.687970e+01,1.272076e+01,6.360782e+00,0.000000e+00
C0069,LT0_OFF,4.000000,100000,0.400000,0,0,2.104211e+02,4.011113e-01,1.452227e-02,3.952406e-01,7.451723e-06,4.682056e+00,1.475188e+02,5.088303e+01,2.544313e+01,0.000000e+00
C0070,LT0_OFF,4.000000,100000,0.800000,0,0,4.208423e+02,8.022225e-01,2.904454e-02,7.904812e-01,7.451723e-06,4.682056e+00,5.900753e+02,2.035321e+02,1.017725e+02,0.000000e+00
C0071,LT0_OFF,4.000000,100000,1.000000,0,0,5.260529e+02,1.002778e+00,3.630568e-02,9.881015e-01,7.451723e-06,4.682056e+00,9.219926e+02,3.180189e+02,1.590196e+02,0.000000e+00
C0072,LT0_OFF,4.000000,100000,1.300000,0,0,6.838687e+02,1.303612e+00,4.719738e-02,1.284532e+00,7.451723e-06,4.682056e+00,1.558167e+03,5.374520e+02,2.687430e+02,0.000000e+00
C0073,LT0_OFF,2.000000,200000,0.100000,0,0,3.055631e+01,1.001346e-01,4.051597e-03,9.901831e-02,1.282877e-05,1.612112e+01,1.901152e+01,1.171836e+01,5.859404e+00,0.000000e+00
C0074,LT0_OFF,2.000000,200000,0.200000,0,0,6.111262e+01,2.002691e-01,8.103195e-03,1.980366e-01,1.282877e-05,1.612112e+01,7.604608e+01,4.687344e+01,2.343761e+01,0.000000e+00
