case_id,mode,gap_mm,freq_hz,target_bn_t,y_mm,bx_abs_t,by_abs_t
C0001,LT0_OFF,2.000000,10000,0.100000,37.856000,2.149764e-02,1.056496e-01
C0001,LT0_OFF,2.000000,10000,0.100000,37.998000,2.032567e-02,1.046173e-01
C0001,LT0_OFF,2.000000,10000,0.100000,38.140000,1.915370e-02,1.035850e-01
C0001,LT0_OFF,2.000000,10000,0.100000,38.282000,1.818750e-02,1.027455e-01
C0001,LT0_OFF,2.000000,10000,0.100000,38.424000,1.752613e-02,1.021915e-01
C0001,LT0_OFF,2.000000,10000,0.100000,38.566000,1.686476e-02,1.016375e-01
C0001,LT0_OFF,2.000000,10000,0.100000,38.708000,1.620339e-02,1.010835e-01
C0001,LT0_OFF,2.000000,10000,0.100000,38.850000,1.554201e-02,1.005295e-01
C0001,LT0_OFF,2.000000,10000,0.100000,38.992000,1.510273e-02,1.521053e-03
C0001,LT0_OFF,2.000000,10000,0.100000,39.134000,1.467581e-02,1.448294e-03
C0001,LT0_OFF,2.000000,10000,0.100000,39.276000,1.424888e-02,1.375536e-03
C0001,LT0_OFF,2.000000,10000,0.100000,39.418000,1.382195e-02,1.302777e-03
C0001,LT0_OFF,2.000000,10000,0.100000,39.560000,1.339503e-02,1.230019e-03
C0001,LT0_OFF,2.000000,10000,0.100000,39.702000,1.296810e-02,1.157260e-03
C0001,LT0_OFF,2.000000,10000,0.100000,39.844000,1.254118e-02,1.084502e-03
C0001,LT0_OFF,2.000000,10000,0.100000,39.986000,1.211425e-02,1.011744e-03
C0001,LT0_OFF,2.000000,10000,0.100000,40.128000,1.169217e-02,9.390142e-04
C0001,LT0_OFF,2.000000,10000,0.100000,40.270000,1.140018e-02,8.670687e-04
C0001,LT0_OFF,2.000000,10000,0.100000,40.412000,1.110819e-02,7.951231e-04
C0001,LT0_OFF,2.000000,10000,0.100000,40.554000,1.081620e-02,7.231775e-04
C0001,LT0_OFF,2.000000,10000,0.100000,40.696000,1.052421e-02,6.512320e-04
C0001,LT0_OFF,2.000000,10000,0.100000,40.838000,1.027005e-02,6.149969e-04
C0001,LT0_OFF,2.000000,10000,0.100000,40.980000,1.004327e-02,6.046013e-04
C0001,LT0_OFF,2.000000,10000,0.100000,41.122000,9.816487e-03,5.942057e-04
C0001,LT0_OFF,2.000000,10000,0.100000,41.264000,9.589704e-03,5.838100e-04
C0001,LT0_OFF,2.000000,10000,0.100000,41.406000,9.365237e-03,5.670200e-04
C0001,LT0_OFF,2.000000,10000,0.100000,41.548000,9.157052e-03,5.052580e-04
C0001,LT0_OFF,2.000000,10000,0.100000,41.690000,8.948867e-03,4.434960e-04
C0001,LT0_OFF,2.000000,10000,0.100000,41.832000,8.740683e-03,3.817339e-04
C0001,LT0_OFF,2.000000,10000,0.100000,41.974000,8.532498e-03,3.199719e-04
C0001,LT0_OFF,2.000000,10000,0.100000,42.116000,8.314693e-03,2.856850e-04
C0001,LT0_OFF,2.000000,10000,0.100000,42.258000,8.092124e-03,2.650051e-04
C0001,LT0_OFF,2.000000,10000,0.100000,42.400000,7.868630e-03,2.534430e-04
C0001,LT0_OFF,2.000000,10000,0.100000,42.542000,7.643963e-03,2.534414e-04
C0001,LT0_OFF,2.000000,10000,0.100000,42.684000,7.418436e-03,2.413752e-04
C0001,LT0_OFF,2.000000,10000,0.100000,42.826000,7.189451e-03,1.871469e-04
C0001,LT0_OFF,2.000000,10000,0.100000,42.968000,6.957925e-03,1.546549e-04
C0001,LT0_OFF,2.000000,10000,0.100000,43.110000,6.736186e-03,1.429402e-04
C0001,LT0_OFF,2.000000,10000,0.100000,43.252000,6.534304e-03,1.269776e-04
C0001,LT0_OFF,2.000000,10000,0.100000,43.394000,6.329114e-03,9.930300e-02
C0001,LT0_OFF,2.000000,10000,0.100000,43.536000,6.109145e-03,9.868763e-05
C0001,LT0_OFF,2.000000,10000,0.100000,43.678000,5.899686e-03,9.926612e-02
C0001,LT0_OFF,2.000000,10000,0.100000,43.820000,5.697868e-03,9.920435e-02
C0001,LT0_OFF,2.000000,10000,0.100000,43.962000,5.490194e-03,9.912329e-02
C0001,LT0_OFF,2.000000,10000,0.100000,44.104000,5.292742e-03,9.907674e-02
C0001,LT0_OFF,2.000000,10000,0.100000,44.246000,5.094163e-03,9.896921e-02
C0001,LT0_OFF,2.000000,10000,0.100000,44.388000,4.936357e-03,9.882232e-02
C0001,LT0_OFF,2.000000,10000,0.100000,44.530000,4.787992e-03,9.876356e-02
C0001,LT0_OFF,2.000000,10000,0.100000,44.672000,4.618196e-03,9.866368e-02
C0001,LT0_OFF,2.000000,10000,0.100000,44.814000,4.444426e-03,9.855564e-02
C0001,LT0_OFF,2.000000,10000,0.100000,44.956000,4.293502e-03,9.843161e-02
C0001,LT0_OFF,2.000000,10000,0.100000,45.098000,4.156691e-03,9.829770e-02
C0001,LT0_OFF,2.000000,10000,0.100000,45.240000,4.033102e-03,9.816433e-02
C0001,LT0_OFF,2.000000,10000,0.100000,45.382000,3.930170e-03,9.803179e-02
C0001,LT0_OFF,2.000000,10000,0.100000,45.524000,3.827237e-03,9.789925e-02
C0001,LT0_OFF,2.000000,10000,0.100000,45.666000,3.724305e-03,9.776671e-02
C0001,LT0_OFF,2.000000,10000,0.100000,45.808000,3.621372e-03,9.763417e-02
C0001,LT0_OFF,2.000000,10000,0.100000,45.950000,3.550407e-03,9.751975e-02
C0001,LT0_OFF,2.000000,10000,0.100000,46.092000,3.481681e-03,9.740660e-02
C0001,LT0_OFF,2.000000,10000,0.100000,46.234000,3.412954e-03,9.729346e-02
C0001,LT0_OFF,2.000000,10000,0.100000,46.376000,3.344227e-03,9.718031e-02
C0001,LT0_OFF,2.000000,10000,0.100000,46.518000,3.286535e-03,2.010985e-04
C0001,LT0_OFF,2.000000,10000,0.100000,46.660000,3.240849e-03,1.800572e-04
C0001,LT0_OFF,2.000000,10000,0.100000,46.802000,3.195164e-03,1.590159e-04
C0001,LT0_OFF,2.000000,10000,0.100000,46.944000,3.149479e-03,1.379746e-04
C0001,LT0_OFF,2.000000,10000,0.100000,47.086000,3.103942e-03,1.171611e-04
C0001,LT0_OFF,2.000000,10000,0.100000,47.228000,3.064656e-03,1.059499e-04
C0001,LT0_OFF,2.000000,10000,0.100000,47.370000,3.025370e-03,9.473867e-05
C0001,LT0_OFF,2.000000,10000,0.100000,47.512000,2.986083e-03,8.352746e-05
C0001,LT0_OFF,2.000000,10000,0.100000,47.654000,2.946797e-03,7.231626e-05
C0001,LT0_OFF,2.000000,10000,0.100000,47.796000,2.911155e-03,6.579945e-05
C0001,LT0_OFF,2.000000,10000,0.100000,47.938000,2.878292e-03,6.286070e-05
C0001,LT0_OFF,2.000000,10000,0.100000,48.080000,2.844876e-03,6.061657e-05
C0001,LT0_OFF,2.000000,10000,0.100000,48.222000,2.810387e-03,5.972307e-05
C0001,LT0_OFF,2.000000,10000,0.100000,48.364000,2.774820e-03,5.887053e-05
C0001,LT0_OFF,2.000000,10000,0.100000,48.506000,2.730692e-03,5.834340e-05
C0001,LT0_OFF,2.000000,10000,0.100000,48.648000,2.686563e-03,5.781627e-05
C0001,LT0_OFF,2.000000,10000,0.100000,48.790000,2.633696e-03,5.483956e-05
C0001,LT0_OFF,2.000000,10000,0.100000,48.932000,2.579681e-03,5.154117e-05
C0001,LT0_OFF,2.000000,10000,0.100000,49.074000,2.522798e-03,5.018283e-05
C0001,LT0_OFF,2.000000,10000,0.100000,49.216000,2.460813e-03,9.486369e-02
C0001,LT0_OFF,2.000000,10000,0.100000,49.358000,2.393459e-03,6.140730e-05
C0001,LT0_OFF,2.000000,10000,0.100000,49.500000,2.322003e-03,6.919398e-05
C0001,LT0_OFF,2.000000,10000,0.100000,49.642000,2.245711e-03,6.916598e-05
C0001,LT0_OFF,2.000000,10000,0.100000,49.784000,2.156965e-03,9.425515e-02
C0001,LT0_OFF,2.000000,10000,0.100000,49.926000,2.049299e-03,9.411289e-02
C0001,LT0_OFF,2.000000,10000,0.100000,50.068000,1.943831e-03,9.387236e-02
C0001,LT0_OFF,2.000000,10000,0.100000,50.210000,1.840559e-03,9.366901e-02
C0001,LT0_OFF,2.000000,10000,0.100000,50.352000,1.723898e-03,9.346966e-02
C0001,LT0_OFF,2.000000,10000,0.100000,50.494000,1.596309e-03,9.325634e-02
C0001,LT0_OFF,2.000000,10000,0.100000,50.636000,1.458832e-03,9.302130e-02
