mode,freq_hz,target_bn_t,gamma_core,gamma_side,r2_core,r2_side,n
LT2_ON,100000,0.400000,-0.018736,-0.018661,0.999914,0.999113,4
LT2_ON,100000,0.800000,-0.018736,-0.018660,0.999914,0.999114,4
LT2_ON,100000,1.000000,-0.018736,-0.018661,0.999914,0.999113,4
LT2_ON,100000,1.300000,-0.018737,-0.018661,0.999915,0.999113,4
LT2_ON,200000,0.100000,-0.017822,-0.017790,0.999804,0.998629,4
LT2_ON,200000,0.200000,-0.017823,-0.017791,0.999803,0.998631,4
LT2_ON,200000,0.400000,-0.017823,-0.017791,0.999803,0.998629,4
LT2_ON,200000,0.800000,-0.017823,-0.017791,0.999803,0.998630,4
LT2_ON,200000,1.000000,-0.017822,-0.017790,0.999804,0.998629,4
LT2_ON,200000,1.300000,-0.017823,-0.017790,0.999803,0.998629,4
