case_id,mode,gap_mm,freq_hz,target_bn_t,d_lam_mm,x_mm,y_mm,bx_abs_t,by_abs_t
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,10.5000,28.5000,5.679400e-02,9.674343e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,10.5000,29.5000,7.343208e-02,9.493545e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,10.5000,30.5000,8.882163e-02,9.210161e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,10.5000,31.5000,1.042112e-01,8.926776e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,10.5000,32.5000,1.294656e-01,8.558605e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,10.5000,33.5000,1.562183e-01,8.133664e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,11.5000,14.5000,5.572386e-01,1.267278e+00
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,11.5000,15.5000,3.896529e-01,1.290782e+00
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,11.5000,16.5000,2.571724e-01,1.255961e+00
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,11.5000,17.5000,1.719109e-01,1.212446e+00
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,11.5000,18.5000,1.175626e-01,1.177943e+00
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,11.5000,19.5000,7.329572e-02,1.146788e+00
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,11.5000,20.5000,4.195161e-02,1.123217e+00
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,11.5000,21.5000,2.126123e-02,1.096103e+00
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,11.5000,22.5000,8.593643e-03,1.076718e+00
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,11.5000,23.5000,4.760152e-03,1.055210e+00
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,11.5000,24.5000,1.939074e-02,1.038806e+00
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,11.5000,25.5000,2.981858e-02,1.025213e+00
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,11.5000,26.5000,4.272247e-02,1.009479e+00
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,11.5000,27.5000,5.518631e-02,9.953523e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,11.5000,28.5000,7.007315e-02,9.829934e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,11.5000,29.5000,9.137509e-02,9.692786e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,11.5000,30.5000,1.162551e-01,9.508542e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,11.5000,31.5000,1.396450e-01,9.250299e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,11.5000,32.5000,1.689147e-01,8.867978e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,11.5000,33.5000,2.205260e-01,8.317526e-01
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,12.5000,14.5000,6.286624e-01,1.503476e+00
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,12.5000,15.5000,3.510533e-01,1.470795e+00
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,12.5000,16.5000,1.883660e-01,1.376212e+00
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,12.5000,17.5000,1.238317e-01,1.283985e+00
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,12.5000,18.5000,7.109469e-02,1.224946e+00
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,12.5000,19.5000,3.896630e-02,1.182506e+00
