case_id,mode,gap_mm,freq_hz,target_bn_t,d_lam_mm,lam_type,perp_enable,current_a,bn_mean_t,bx_h_mean_t,by_h_mean_t,l_h,z_ohm,p_tot_w,p_core_w,p_side_w,p_thin31_w
C0038,LT0_OFF,3.000000,30000,0.200000,0.010000,0,0,8.444815e+01,2.004034e-01,7.465862e-03,1.971724e-01,9.283804e-06,1.749956e+00,2.626954e+00,2.250706e-01,1.125122e-01,0.000000e+00
C0039,LT0_OFF,3.000000,30000,0.400000,0.010000,0,0,1.688963e+02,4.008068e-01,1.493172e-02,3.943448e-01,9.283804e-06,1.749956e+00,1.050782e+01,9.002824e-01,4.500490e-01,0.000000e+00
C0040,LT0_OFF,3.000000,30000,0.800000,0.010000,0,0,3.377926e+02,8.016135e-01,2.986345e-02,7.886896e-01,9.283804e-06,1.749956e+00,4.203127e+01,3.601130e+00,1.800196e+00,0.000000e+00
C0041,LT0_OFF,3.000000,30000,1.000000,0.010000,0,0,4.222407e+02,1.002017e+00,3.732931e-02,9.858619e-01,9.283804e-06,1.749956e+00,6.567386e+01,5.626765e+00,2.812806e+00,0.000000e+00
C0042,LT0_OFF,3.000000,30000,1.300000,0.010000,0,0,5.489129e+02,1.302622e+00,4.852810e-02,1.281621e+00,9.283804e-06,1.749956e+00,1.109888e+02,9.509233e+00,4.753642e+00,0.000000e+00
C0043,LT0_OFF,4.000000,30000,0.100000,0.010000,0,0,5.259784e+01,1.002779e-01,3.630471e-03,9.881028e-02,7.452778e-06,1.404816e+00,9.796400e-01,5.605141e-02,2.802748e-02,0.000000e+00
C0044,LT0_OFF,4.000000,30000,0.200000,0.010000,0,0,1.051957e+02,2.005558e-01,7.260943e-03,1.976206e-01,7.452778e-06,1.404816e+00,3.918560e+00,2.242056e-01,1.121099e-01,0.000000e+00
C0045,LT0_OFF,4.000000,30000,0.400000,0.010000,0,0,2.103914e+02,4.011116e-01,1.452189e-02,3.952411e-01,7.452778e-06,1.404816e+00,1.567424e+01,8.968226e-01,4.484397e-01,0.000000e+00
C0046,LT0_OFF,4.000000,30000,0.800000,0.010000,0,0,4.207827e+02,8.022231e-01,2.904377e-02,7.904823e-01,7.452778e-06,1.404816e+00,6.269696e+01,3.587290e+00,1.793759e+00,0.000000e+00
C0047,LT0_OFF,4.000000,30000,1.000000,0.010000,0,0,5.259784e+02,1.002779e+00,3.630471e-02,9.881028e-01,7.452778e-06,1.404816e+00,9.796400e+01,5.605141e+00,2.802748e+00,0.000000e+00
C0048,LT0_OFF,4.000000,30000,1.300000,0.010000,0,0,6.837719e+02,1.303613e+00,4.719613e-02,1.284534e+00,7.452778e-06,1.404816e+00,1.655592e+02,9.472688e+00,4.736645e+00,0.000000e+00
C0049,LT0_OFF,2.000000,100000,0.100000,0.010000,0,0,3.053078e+01,1.001348e-01,4.051313e-03,9.901874e-02,1.283950e-05,8.067298e+00,2.786631e+00,6.281678e-01,3.140959e-01,0.000000e+00
C0050,LT0_OFF,2.000000,100000,0.200000,0.010000,0,0,6.106155e+01,2.002696e-01,8.102626e-03,1.980375e-01,1.283950e-05,8.067298e+00,1.114652e+01,2.512671e+00,1.256384e+00,0.000000e+00
C0051,LT0_OFF,2.000000,100000,0.400000,0.010000,0,0,1.221231e+02,4.005393e-01,1.620525e-02,3.960750e-01,1.283950e-05,8.067298e+00,4.458609e+01,1.005068e+01,5.025534e+00,0.000000e+00
C0052,LT0_OFF,2.000000,100000,0.800000,0.010000,0,0,2.442462e+02,8.010785e-01,3.241051e-02,7.921499e-01,1.283950e-05,8.067298e+00,1.783444e+02,4.020274e+01,2.010214e+01,0.000000e+00
C0053,LT0_OFF,2.000000,100000,1.000000,0.010000,0,0,3.053078e+02,1.001348e+00,4.051313e-02,9.901874e-01,1.283950e-05,8.067298e+00,2.786631e+02,6.281678e+01,3.140959e+01,0.000000e+00
C0054,LT0_OFF,2.000000,100000,1.300000,0.010000,0,0,3.969001e+02,1.301753e+00,5.266707e-02,1.287244e+00,1.283950e-05,8.067298e+00,4.709406e+02,1.061604e+02,5.308221e+01,0.000000e+00
C0055,LT0_OFF,2.500000,100000,0.100000,0.010000,0,0,3.657441e+01,1.001692e-01,4.007787e-03,9.871922e-02,1.071788e-05,6.734241e+00,3.713220e+00,6.260178e-01,3.129814e-01,0.000000e+00
C0056,LT0_OFF,2.500000,100000,0.200000,0.010000,0,0,7.314881e+01,2.003385e-01,8.015575e-03,1.974384e-01,1.071788e-05,6.734241e+00,1.485288e+01,2.504071e+00,1.251926e+00,0.000000e+00
C0057,LT0_OFF,2.500000,100000,0.400000,0.010000,0,0,1.462976e+02,4.006769e-01,1.603115e-02,3.948769e-01,1.071788e-05,6.734241e+00,5.941152e+01,1.001629e+01,5.007702e+00,0.000000e+00
C0058,LT0_OFF,2.500000,100000,0.800000,0.010000,0,0,2.925953e+02,8.013538e-01,3.206230e-02,7.897538e-01,1.071788e-05,6.734241e+00,2.376461e+02,4.006514e+01,2.003081e+01,0.000000e+00
C0059,LT0_OFF,2.500000,100000,1.000000,0.010000,0,0,3.657441e+02,1.001692e+00,4.007787e-02,9.871922e-01,1.071788e-05,6.734241e+00,3.713220e+02,6.260178e+01,3.129814e+01,0.000000e+00
C0060,LT0_OFF,2.500000,100000,1.300000,0.010000,0,0,4.754673e+02,1.302200e+00,5.210123e-02,1.283350e+00,1.071788e-05,6.734241e+00,6.275342e+02,1.057970e+02,5.289385e+01,0.000000e+00
C0061,LT0_OFF,3.000000,100000,0.100000,0.010000,0,0,4.222433e+01,1.002017e-01,3.732934e-03,9.858619e-02,9.283748e-06,5.833151e+00,4.716385e+00,6.244480e-01,3.121600e-01,0.000000e+00
C0062,LT0_OFF,3.000000,100000,0.200000,0.010000,0,0,8.444866e+01,2.004034e-01,7.465867e-03,1.971724e-01,9.283748e-06,5.833151e+00,1.886554e+01,2.497792e+00,1.248640e+00,0.000000e+00
C0063,LT0_OFF,3.000000,100000,0.400000,0.010000,0,0,1.688973e+02,4.008068e-01,1.493173e-02,3.943448e-01,9.283748e-06,5.833151e+00,7.546217e+01,9.991168e+00,4.994561e+00,0.000000e+00
C0064,LT0_OFF,3.000000,100000,0.800000,0.010000,0,0,3.377946e+02,8.016135e-01,2.986347e-02,7.886895e-01,9.283748e-06,5.833151e+00,3.018487e+02,3.996467e+01,1.997824e+01,0.000000e+00
C0065,LT0_OFF,3.000000,100000,1.000000,0.010000,0,0,4.222433e+02,1.002017e+00,3.732934e-02,9.858619e-01,9.283748e-06,5.833151e+00,4.716385e+02,6.244480e+01,3.121600e+01,0.000000e+00
C0066,LT0_OFF,3.000000,100000,1.300000,0.010000,0,0,5.489163e+02,1.302622e+00,4.852814e-02,1.281620e+00,9.283748e-06,5.833151e+00,7.970691e+02,1.055317e+02,5.275505e+01,0.000000e+00
C0067,LT0_OFF,4.000000,100000,0.100000,0.010000,0,0,5.259809e+01,1.002779e-01,3.630475e-03,9.881028e-02,7.452742e-06,4.682696e+00,6.880821e+00,6.220482e-01,3.110439e-01,0.000000e+00
C0068,LT0_OFF,4.000000,100000,0.200000,0.010000,0,0,1.051962e+02,2.005558e-01,7.260949e-03,1.976206e-01,7.452742e-06,4.682696e+00,2.752328e+01,2.488193e+00,1.244175e+00,0.000000e+00
C0069,LT0_OFF,4.000000,100000,0.400000,0.010000,0,0,2.103924e+02,4.011116e-01,1.452190e-02,3.952411e-01,7.452742e-06,4.682696e+00,1.100931e+02,9.952772e+00,4.976702e+00,0.000000e+00
C0070,LT0_OFF,4.000000,100000,0.800000,0.010000,0,0,4.207847e+02,8.022231e-01,2.904380e-02,7.904822e-01,7.452742e-06,4.682696e+00,4.403725e+02,3.981109e+01,1.990681e+01,0.000000e+00
C0071,LT0_OFF,4.000000,100000,1.000000,0.010000,0,0,5.259809e+02,1.002779e+00,3.630475e-02,9.881028e-01,7.452742e-06,4.682696e+00,6.880821e+02,6.220482e+01,3.110439e+01,0.000000e+00
C0072,LT0_OFF,4.000000,100000,1.300000,0.010000,0,0,6.837752e+02,1.303613e+00,4.719617e-02,1.284534e+00,7.452742e-06,4.682696e+00,1.162859e+03,1.051261e+02,5.256641e+01,0.000000e+00
C0073,LT0_OFF,2.000000,200000,0.100000,0.010000,0,0,3.053161e+01,1.001348e-01,4.051322e-03,9.901872e-02,1.283915e-05,1.613415e+01,1.071229e+01,2.502828e+00,1.251462e+00,0.000000e+00
C0074,LT0_OFF,2.000000,200000,0.200000,0.010000,0,0,6.106322e+01,2.002696e-01,8.102645e-03,1.980374e-01,1.283915e-05,1.613415e+01,4.284916e+01,1.001131e+01,5.005847e+00,0.000000e+00
C0075,LT0_OFF,2.000000,200000,0.400000,0.010000,0,0,1.221264e+02,4.005392e-01,1.620529e-02,3.960749e-01,1.283915e-05,1.613415e+01,1.713966e+02,4.004525e+01,2.002339e+01,0.000000e+00
C0076,LT0_OFF,2.000000,200000,0.800000,0.010000,0,0,2.442529e+02,8.010784e-01,3.241058e-02,7.921498e-01,1.283915e-05,1.613415e+01,6.855865e+02,1.601810e+02,8.009356e+01,0.000000e+00
