mode,d_lam_mm,gap_mm,target_bn_t,alpha_core,alpha_side,r2_core,r2_side,n
LT0_OFF,0.100000,2.000000,0.100000,1.531757,1.531757,0.999629,0.999629,4
LT0_OFF,0.100000,2.000000,0.200000,1.531757,1.531757,0.999629,0.999629,4
LT0_OFF,0.100000,2.000000,0.400000,1.531757,1.531757,0.999629,0.999629,4
LT0_OFF,0.100000,2.000000,0.800000,1.531757,1.531757,0.999629,0.999629,4
LT0_OFF,0.100000,2.000000,1.000000,1.531757,1.531757,0.999629,0.999629,4
LT0_OFF,0.100000,2.000000,1.300000,1.531757,1.531757,0.999629,0.999629,4
LT0_OFF,0.100000,2.500000,0.100000,1.531756,1.531756,0.999629,0.999629,4
LT0_OFF,0.100000,2.500000,0.200000,1.531756,1.531756,0.999629,0.999629,4
LT0_OFF,0.100000,2.500000,0.400000,1.531756,1.531756,0.999629,0.999629,4
LT0_OFF,0.100000,2.500000,0.800000,1.531756,1.531756,0.999629,0.999629,4
LT0_OFF,0.100000,2.500000,1.000000,1.531756,1.531756,0.999629,0.999629,4
LT0_OFF,0.100000,2.500000,1.300000,1.531756,1.531756,0.999629,0.999629,4
LT0_OFF,0.100000,3.000000,0.100000,1.531755,1.531755,0.999629,0.999629,4
LT0_OFF,0.100000,3.000000,0.200000,1.531755,1.531755,0.999629,0.999629,4
LT0_OFF,0.100000,3.000000,0.400000,1.531755,1.531755,0.999629,0.999629,4
LT0_OFF,0.100000,3.000000,0.800000,1.531755,1.531755,0.999629,0.999629,4
LT0_OFF,0.100000,3.000000,1.000000,1.531755,1.531755,0.999629,0.999629,4
LT0_OFF,0.100000,3.000000,1.300000,1.531755,1.531755,0.999629,0.999629,4
LT0_OFF,0.100000,4.000000,0.100000,1.531754,1.531754,0.999629,0.999629,4
LT0_OFF,0.100000,4.000000,0.200000,1.531754,1.531753,0.999629,0.999629,4
LT0_OFF,0.100000,4.000000,0.400000,1.531754,1.531754,0.999629,0.999629,4
LT0_OFF,0.100000,4.000000,0.800000,1.531754,1.531754,0.999629,0.999629,4
LT0_OFF,0.100000,4.000000,1.000000,1.531754,1.531754,0.999629,0.999629,4
LT0_OFF,0.100000,4.000000,1.300000,1.531754,1.531754,0.999629,0.999629,4
LT2_ON,0.010000,2.000000,0.100000,1.998767,1.998767,1.000000,1.000000,4
LT2_ON,0.010000,2.000000,0.200000,1.998767,1.998767,1.000000,1.000000,4
LT2_ON,0.010000,2.000000,0.400000,1.998767,1.998767,1.000000,1.000000,4
